cue,start_sec,end_sec,dur_sec,vad3_speech_ratio,vad1_speech_ratio,onset_delta_sec,timecode_confidence,flags,text_head
1,7.66,15.66,8.0,0.015,0.248,-1.36,낮음,8s_padding;onset_off;no_speech_detected,유튜브 영상 녹화도 켰구요
2,15.91,17.44,1.53,1.0,1.0,-0.37,높음,,어떻게 시작을 해볼까 잠시만요
3,34.5,42.53,8.03,0.78,0.884,0.03,높음,8s_padding,반갑습니다 김실버 입니다 오늘 해볼 게임은 내가 최근에 이 영화 백룸에
4,42.53,53.24,10.71,0.676,0.726,1.06,중간,overlong;onset_off,이 영화 백룸을 시청을 하고 왔어요 그래서 이 백룸이 원래 게임이 먼저
5,53.39,60.68,7.29,0.626,0.687,-0.14,중간,,약간 원작이라고 해야 될까요 원작이 되는 게임이 있더라구요
6,61.92,73.6,11.68,0.682,0.764,-1.44,중간,overlong;onset_off,사실 영화 백룸의 원작은 유튜브에서 시작했던 시리즈인 것 같지만 백룸이라
7,75.31,88.24,12.93,0.649,0.732,-1.84,중간,overlong;onset_off,백룸이라는 리미널 스페이스에 대한 공간에 대한 궁금증이 조금 생겼습니다
8,92.72,115.76,23.04,0.385,0.48,3.1,중간,overlong;onset_off,게임을 한번 해보려고 가져와 봤습니다 잠시만요 그래서 이제 어두운 방에서
9,117.42,125.32,7.9,0.442,0.708,1.29,중간,8s_padding;onset_off,최대한 주변을 어둡게 해두고 게임을 진행해 보려고 합니다
10,126.88,134.88,8.0,0.0,0.184,-1.6,낮음,8s_padding;onset_off;no_speech_detected,한번 해볼게요
11,152.96,165.16,12.2,0.362,0.394,6.7,중간,overlong;onset_off,봅시다 어 잠깐만 아 시작부터 잘못됐네
12,171.68,192.4,20.72,0.676,0.783,-1.58,중간,overlong;onset_off,헤드셋으로 듣고 있었어야 했는데 이 정도면 될 것 같죠 사운드 너무 크면
13,192.4,196.68,4.28,0.628,1.0,2.51,중간,onset_off,나 되게 무서운 문구를 본 것 같아 아 이거 사운드 왜 이래
14,196.78,204.56,7.78,0.262,0.496,0.05,낮음,no_speech_detected,잠깐만 사운드 너무 무섭잖아
15,207.48,215.48,8.0,0.0,0.366,-2.85,낮음,8s_padding;onset_off;no_speech_detected,아 내가 듣는 소리를 줄여야겠구나
16,221.28,238.68,17.4,0.176,0.647,-5.7,중간,overlong;onset_off,어 개무서워 아 사운드 괜찮나요 보고계시는 분 혹시 없나요
17,238.78,258.12,19.34,0.349,0.612,-0.07,중간,overlong,일단은 플레이 해볼게요 플레이하기 참여하기 캐릭터 선택
18,258.22,260.96,2.74,0.646,0.836,0.02,중간,,방랑자 라는게 있네요
19,261.06,273.12,12.06,0.428,0.614,0.06,중간,overlong,방랑자는 뭐지 아 귀여운 것도 있네 은근 이게 고인물이 되면 점점 귀여워
20,273.32,278.8,5.48,0.347,0.852,-0.11,중간,,일단은 플레이 해보겠습니다
21,278.95,283.6,4.65,0.398,1.0,-0.04,중간,,이야기 모드 비공개 한명
22,283.84,298.08,14.24,0.726,0.941,-0.13,중간,overlong,이거 한명 선택해놨는데 누가 들어오면 개무섭겠다 크로스 네트워크 플레이가
23,298.23,300.0,1.77,0.458,1.0,-0.03,중간,,무슨 소리세요
24,300.1,309.36,9.26,0.431,1.0,0.02,중간,,저는 한명을 선택해놨는데요 누가 들어올 수도 있는건가 개무섭네
25,309.46,314.84,5.38,0.104,1.0,-0.01,중간,,쉬움
26,314.94,347.6,32.66,0.352,0.648,-0.0,중간,overlong,김실버 이게 난입을 할 수 있나봐요 원래는 오 미친 오 와 이거 그거 영
27,347.65,365.08,17.43,0.322,0.616,0.05,중간,overlong,오씨 에어컨 꺼야 되나 여기 박살 돋는 것 같아 지금 뭐에요 아 괴물이
28,365.48,378.24,12.76,0.318,0.356,-0.32,중간,overlong,야 여기서 그냥 눈을 뜬다고 아니 길을 모르던데 엑시트가 조금만
29,378.24,391.6,13.36,0.606,0.705,0.06,중간,overlong,that thing doesn't want us to escape 우리가
30,391.65,400.52,8.87,0.497,0.541,0.06,중간,,어디로 뭔가 출구로 나가면 된다 이런 얘기 같은데 잠깐만 이거 근데 마우
31,400.67,403.8,3.13,0.185,0.224,-0.02,낮음,no_speech_detected,느리다
32,408.84,432.92,24.08,0.294,0.4,-4.95,낮음,overlong;onset_off;no_speech_detected,암도가 느린건가 아니 이 사운드 뭐야 전자레인지 돌아가는 것 같은 사운드
33,432.97,448.32,15.35,0.439,0.494,-1.48,중간,overlong;onset_off,어 나 무서워 와 야 근데 소름 돋는다 이 커다란 공간에 아무도 없다는
34,448.57,465.92,17.35,0.273,0.512,-0.13,중간,overlong,눈으로 보고 있으니까 게임 사운드가 안들려요 잠깐만요 게임 사운드 올리면
35,466.02,485.56,19.54,0.312,0.562,-0.0,중간,overlong,들리세요 근데 이러면 너무 크게 들어갈 수도 있어요 뭔가 괴물이 꼬리 지
36,485.61,506.28,20.67,0.376,0.55,0.06,중간,overlong,달려가는 것도 있는 것 같고 키를 한번 잠깐 볼까 앉기 달리기 쉬프트 Q
37,506.38,508.0,1.62,0.407,0.481,0.08,중간,,1 2 3
38,508.05,510.2,2.15,0.167,0.307,-0.0,낮음,no_speech_detected,1 2 3
39,513.36,521.36,8.0,0.0,0.03,-3.0,낮음,8s_padding;onset_off;no_speech_detected,쉬프트
40,521.51,525.28,3.77,0.469,0.517,0.04,중간,,이놈이 탈출을 막고 있음
41,525.43,531.2,5.77,0.134,0.159,-0.07,낮음,no_speech_detected,이놈이 뭔데요
42,531.3,544.2,12.9,0.398,0.605,0.06,중간,overlong,어 나 격투 한쪽 끝대로 다닐래 그러면 최소한 등뒤는 안 봐도 되잖아 벽
43,544.3,552.44,8.14,0.387,0.509,0.05,중간,8s_padding,나 이거 못할 것 같은데 얘 무서워 뭐 소리 나지 않았어요 방금
44,553.0,564.72,11.72,0.195,0.209,-0.43,낮음,overlong;no_speech_detected,아닌가 아니 1층에서는 뭐 아무것도 안 나와야 되는 거 아니야
45,565.88,573.88,8.0,0.079,0.094,-1.01,낮음,8s_padding;onset_off;no_speech_detected,뭐야
46,574.03,579.32,5.29,0.249,0.278,0.05,낮음,no_speech_detected,아 뭐 소리 들리는 것 같애
47,579.42,598.32,18.9,0.265,0.305,0.06,낮음,overlong;no_speech_detected,아니 으어 하는 소리 들리는 것 같지 않아요 벨마리님 안녕하세요 어 뭐야
48,598.42,605.92,7.5,0.448,0.544,0.05,중간,,원래 공간도 다 보지 못했는데 저 원래 공간에 먼저 한번 다 돌겠습니다
49,606.12,612.12,6.0,0.245,0.305,-0.03,낮음,no_speech_detected,기침 소리가 났는데 아닌가
50,612.27,624.36,12.09,0.154,0.261,0.03,낮음,overlong;no_speech_detected,아 개 무서워 어 누가 똑똑거렸어요
51,624.48,634.56,10.08,0.688,0.795,0.06,중간,overlong,누가 똑똑거렸어요 누가 똑똑거렸어 저만 들었어요
52,639.55,646.8,7.25,0.041,0.062,0.08,낮음,no_speech_detected,살려줘
53,646.95,653.6,6.65,0.469,0.51,0.06,중간,,야 뭐야 아 나 잠깐만 나 닭살 뜯었어 지금
54,653.75,659.92,6.17,0.506,0.605,0.04,중간,,나 저런 애랑 이제 숨바꼭질 하면서 여기를 깨야 되는 거예요
