asset_id,source_id,source_path,source_time_seconds,source_end_seconds,width,kind,precision,candidate_ids,bit_ids,tags,path,status,notes
review_C01_sheet,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,30,126,1600,contact_sheet,source_range,C01,,동기·셋업,outputs/review_2026-07-11/media/C01.png,current,원본 시간 기준 검토 카드
review_C01_audio,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,30,126,,audio_clip,source_range,C01,,동기·셋업,outputs/review_2026-07-11/media/C01.mp3,current,원본 시간 기준 검토 오디오
review_C02_sheet,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,190,225,1600,contact_sheet,source_range,C02,,공포 예열,outputs/review_2026-07-11/media/C02.png,current,원본 시간 기준 검토 카드
review_C02_audio,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,190,225,,audio_clip,source_range,C02,,공포 예열,outputs/review_2026-07-11/media/C02.mp3,current,원본 시간 기준 검토 오디오
review_C03_sheet,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,605,655,1600,contact_sheet,source_range,C03,,공포증거·노크,outputs/review_2026-07-11/media/C03.png,current,원본 시간 기준 검토 카드
review_C03_audio,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,605,655,,audio_clip,source_range,C03,,공포증거·노크,outputs/review_2026-07-11/media/C03.mp3,current,원본 시간 기준 검토 오디오
review_C04_sheet,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,727,760,1600,contact_sheet,source_range,C04,,공포증거·현실,outputs/review_2026-07-11/media/C04.png,current,원본 시간 기준 검토 카드
review_C04_audio,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,727,760,,audio_clip,source_range,C04,,공포증거·현실,outputs/review_2026-07-11/media/C04.mp3,current,원본 시간 기준 검토 오디오
review_C05_sheet,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,835,885,1600,contact_sheet,source_range,C05,,첫 붕괴·허세,outputs/review_2026-07-11/media/C05.png,current,원본 시간 기준 검토 카드
review_C05_audio,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,835,885,,audio_clip,source_range,C05,,첫 붕괴·허세,outputs/review_2026-07-11/media/C05.mp3,current,원본 시간 기준 검토 오디오
review_C06_sheet,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,1090,1170,1600,contact_sheet,source_range,C06,,자각 핵심,outputs/review_2026-07-11/media/C06.png,current,원본 시간 기준 검토 카드
review_C06_audio,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,1090,1170,,audio_clip,source_range,C06,,자각 핵심,outputs/review_2026-07-11/media/C06.mp3,current,원본 시간 기준 검토 오디오
review_C07_sheet,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,1250,1295,1600,contact_sheet,source_range,C07,,허세 자백,outputs/review_2026-07-11/media/C07.png,current,원본 시간 기준 검토 카드
review_C07_audio,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,1250,1295,,audio_clip,source_range,C07,,허세 자백,outputs/review_2026-07-11/media/C07.mp3,current,원본 시간 기준 검토 오디오
review_C08_sheet,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,1340,1450,1600,contact_sheet,source_range,C08,,자기설득 실패,outputs/review_2026-07-11/media/C08.png,current,원본 시간 기준 검토 카드
review_C08_audio,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,1340,1450,,audio_clip,source_range,C08,,자기설득 실패,outputs/review_2026-07-11/media/C08.mp3,current,원본 시간 기준 검토 오디오
review_C09_sheet,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,2080,2264,1600,contact_sheet,source_range,C09,,추격·콜드오픈,outputs/review_2026-07-11/media/C09.png,current,원본 시간 기준 검토 카드
review_C09_audio,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,2080,2264,,audio_clip,source_range,C09,,추격·콜드오픈,outputs/review_2026-07-11/media/C09.mp3,current,원본 시간 기준 검토 오디오
review_C10_sheet,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,2290,2360,1600,contact_sheet,source_range,C10,,추격 후 반응,outputs/review_2026-07-11/media/C10.png,current,원본 시간 기준 검토 카드
review_C10_audio,backrooms_20260630,inputs/2026-06-30 00-23-03.mp4,2290,2360,,audio_clip,source_range,C10,,추격 후 반응,outputs/review_2026-07-11/media/C10.mp3,current,원본 시간 기준 검토 오디오
