"asset_id","source_id","source_path","source_size","source_mtime_ns","source_fps","source_time_seconds","source_end_seconds","source_frame","width","kind","precision","candidate_ids","bit_ids","tags","path","sha256","status","notes"
"review_C01_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","30.000","126.000","","1600","contact_sheet","source_range","C01","","동기·셋업","outputs/review_2026-07-11/media/C01.png","db68b34ebea51293a245ecbd7f89de880a951ef2cf57f87ba5e428037f59bf15","current","원본 시간 기준 검토 카드"
"review_C01_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","30.000","126.000","","","audio_clip","source_range","C01","","동기·셋업","outputs/review_2026-07-11/media/C01.mp3","9383b9fbd84b5876b5a2cba23b39f3af4d5fd5730f95b862157e424bb2a65c13","current","원본 시간 기준 검토 오디오"
"review_C02_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","190.000","225.000","","1600","contact_sheet","source_range","C02","","공포 예열","outputs/review_2026-07-11/media/C02.png","c7656ecf52eaa56ef86397ad221470d1ad02baa0086ce88af50f79f71b19c3c4","current","원본 시간 기준 검토 카드"
"review_C02_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","190.000","225.000","","","audio_clip","source_range","C02","","공포 예열","outputs/review_2026-07-11/media/C02.mp3","b0115be3f0958cc89eb259771f52e9602e332739d98a1a5805f45e507339c849","current","원본 시간 기준 검토 오디오"
"review_C03_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","605.000","655.000","","1600","contact_sheet","source_range","C03","","공포증거·노크","outputs/review_2026-07-11/media/C03.png","c523cced06c1e6942061c994e6d72b667bd4d4d14d4d2ea6cb1a76a5977610f0","current","원본 시간 기준 검토 카드"
"review_C03_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","605.000","655.000","","","audio_clip","source_range","C03","","공포증거·노크","outputs/review_2026-07-11/media/C03.mp3","6d02a18caf4651551d4f1251f34f5bc2556c41ee88447c12e7ebe5f4cf2c0ca2","current","원본 시간 기준 검토 오디오"
"review_C04_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","727.000","760.000","","1600","contact_sheet","source_range","C04","","공포증거·현실","outputs/review_2026-07-11/media/C04.png","def333bf021cd16dc7afb3a74a9e52d433d881ea16862fbfc914bd259f70c4cb","current","원본 시간 기준 검토 카드"
"review_C04_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","727.000","760.000","","","audio_clip","source_range","C04","","공포증거·현실","outputs/review_2026-07-11/media/C04.mp3","0873cca48a77b9443a96f7945408bda4e79c60b224c59c48cd41e7cc2e258c7c","current","원본 시간 기준 검토 오디오"
"review_C05_sheet","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","835.000","885.000","","1600","contact_sheet","source_range","C05","","첫 붕괴·허세","outputs/review_2026-07-11/media/C05.png","4d54ea451040e295c24f72bf626ca0ba44438bd55d6d441bfc3fad467c8de7c3","current","원본 시간 기준 검토 카드"
"review_C05_audio","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","835.000","885.000","","","audio_clip","source_range","C05","","첫 붕괴·허세","outputs/review_2026-07-11/media/C05.mp3","554b132c640d127341077df73ac9172e306bc0e70511f3e7afe8a44d0d5bb7ac","current","원본 시간 기준 검토 오디오"
