"sequence","order","cut_id","start","end","label","role"
"FULL_전체18비트_v6","1","HOOK_01","3022.90","3035.80","HOOK_인간형조우_비명_붙잡힘_사망","콜드오픈"
"FULL_전체18비트_v6","2","B01_01","34.30","36.48","B01_인사_오늘해볼게임은","셋업"
"FULL_전체18비트_v6","3","B01_02","37.93","39.60","B01_최근에_영화백룸1","셋업"
"FULL_전체18비트_v6","4","B01_03","39.88","40.70","B01_영화백룸2","셋업"
"FULL_전체18비트_v6","5","B01_04","44.13","46.38","B01_시청하고왔어요","셋업"
"FULL_전체18비트_v6","6","B01_05","47.72","49.28","B01_그래서_이백룸이","셋업"
"FULL_전체18비트_v6","7","B01_06","49.88","52.33","B01_원래게임이_먼저","셋업"
"FULL_전체18비트_v6","8","B01_07","73.35","77.88","B01_리미널_궁금증1","셋업"
"FULL_전체18비트_v6","9","B01_08","78.37","80.70","B01_리미널_궁금증2","셋업"
"FULL_전체18비트_v6","10","B01_09","106.15","111.12","B01_어두운방에서_혼자","셋업"
"FULL_전체18비트_v6","11","B01_10","115.22","117.80","B01_무서울것같은데1","셋업"
"FULL_전체18비트_v6","12","B01_11","118.55","119.42","B01_무서울것같은데2","셋업"
"FULL_전체18비트_v6","13","B01_12","120.28","122.10","B01_어둡게해두고1","셋업"
"FULL_전체18비트_v6","14","B01_13","125.08","126.10","B01_어둡게해두고2","셋업"
"FULL_전체18비트_v6","15","B02_01","192.30","197.35","B02_무서운문구_사운드왜이래","공포예열"
"FULL_전체18비트_v6","16","B02_02","199.40","200.85","B02_사운드너무무섭잖아","공포예열"
"FULL_전체18비트_v6","17","B02_03","322.43","341.10","B02_도입_영화같은추격","게임도입"
"FULL_전체18비트_v6","18","B02_04","378.24","389.53","B02_탈출방해_사다리목표","게임도입"
"FULL_전체18비트_v6","19","B02_05","391.70","394.16","B02_출구로이동_목표완결","게임도입"
"FULL_전체18비트_v6","20","B02_06","416.93","423.05","B02_전자레인지환경음_첫인지","환경음모티프"
