"sequence","order","cut_id","start","end","label","role","timeline_start","video_track","audio_mode","audio_start","audio_end"
"INTEGRATED_CALIBRATION_V1","1","HOOK_01","2333.865","2336.223","문앞엔티티접근","훅_문맥_위협등장","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","2","HOOK_02","2336.323","2338.837","못들어오잖아도발","훅_행동_규칙확인","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","3","HOOK_03","2342.740","2344.940","NPC수준허세","훅_피크_허세","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","4","HOOK_04","2346.190","2347.940","근데무서워","훅_반전_공포인정","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","5","HOOK_05","2348.115","2351.207","빨리가와짧은잔향","훅_결과_도주","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","6","B01_01","43.616","46.860","영화백룸을보고옴","본편리셋_E01_동기","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","7","B01_02","47.824","52.095","원래게임이먼저있었음","E01_매체전환","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","8","B01_03","322.421","326.250","로비에서백룸화면으로","E02_진입문턱","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","9","B01_04","337.434","343.438","영화첫장면같은실제공간","E02_첫공간보상","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","10","B02_01","3422.890","3426.000","어두운공간이무섭다","E10_문제_암흑","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","11","B02_02","3506.540","3507.940","전원위치발견반응","E10_행동_규칙발견","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","12","B02_03","3510.340","3513.940","나혼자공포게임","E10_코미디_설정","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","13","B02_04","3513.940","3516.340","전원스위치실행","E10_행동_실제조작","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","14","B02_05","3520.540","3523.740","혼자생쇼와밝은결과","E10_결과_코미디_밝아짐","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","15","B03_01","4342.274","4347.935","반복할수록익숙해짐","E11_학습회수","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","16","B03_02","4348.729","4351.259","처음상황이되면","E11_반전설정","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","17","B03_03","4352.059","4354.669","여전히공포감이남음","E11_메시지회수","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","18","B03_04","4790.368","4793.921","무서워서끝내는건아님","E14_허세_부인","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","19","B03_05","4914.090","4915.940","오늘방송여기까지","E14_중단","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","20","B03_06","4920.340","4924.050","잠깐만너무긴장했어","E14_최종자백","","1","linked","",""
