"sequence","order","cut_id","start","end","label","role","timeline_start","video_track","audio_mode","audio_start","audio_end"
"CAL_A_훅과빠른진입","1","A_HOOK","3022.900","3035.800","조우_비명_사망","훅_완결미니사건","","1","linked","",""
"CAL_A_훅과빠른진입","2","A_MOTIVE","42.535","53.240","영화백룸을보고게임궁금","동기_새정보","","1","linked","",""
"CAL_A_훅과빠른진입","3","A_CONDITION","117.419","125.320","어두운방에서혼자체험","체험조건_새정보","","1","linked","",""
"CAL_A_훅과빠른진입","4","A_ENTRY","314.940","347.600","영화첫장면같은백룸진입","기대보상_실제공간","","1","linked","",""
"CAL_B_추격과코미디","1","B_LISTEN","2082.861","2084.500","지나갔나","발견전_정적","","1","linked","",""
"CAL_B_추격과코미디","2","B_SPOTTED","2084.739","2087.699","발견했다","발견","","1","linked","",""
"CAL_B_추격과코미디","3","B_RUN","2096.630","2102.185","추격시작","도주","","1","linked","",""
"CAL_B_추격과코미디","4","B_REENCOUNTER","2119.840","2126.569","게임인걸알아도무서운재조우","재조우","","1","linked","",""
"CAL_B_추격과코미디","5","B_ENTITY","2140.150","2144.780","양팔벌리고달리는엔티티","위협시각화","","1","linked","",""
"CAL_B_추격과코미디","6","B_DEAD_END","2193.517","2196.887","막다른길","막힘","","1","linked","",""
"CAL_B_추격과코미디","7","B_DOOMED","2196.937","2198.900","조졌어","막힘_감정피크","","1","linked","",""
"CAL_B_추격과코미디","8","B_STAMINA","2205.100","2212.700","스태미나고갈과추격","압박","","1","linked","",""
"CAL_B_추격과코미디","9","B_PLEA_SETUP","2213.800","2216.940","탄원시작","탄원_설정","","1","linked","",""
"CAL_B_추격과코미디","10","B_PLEA_PEAK","2217.040","2225.940","착하게살게요","탄원_피크","","1","linked","",""
"CAL_B_추격과코미디","11","B_LAUGH","2239.739","2243.940","웃음과왜안가","공포직후코미디","","1","linked","",""
"CAL_B_추격과코미디","12","B_HIDE","2244.040","2249.978","숨어서안전확인","회피","","1","linked","",""
"CAL_B_추격과코미디","13","B_DOOR","2253.990","2260.940","문으로생존","결과","","1","linked","",""
"CAL_B_추격과코미디","14","B_WATER","2264.590","2268.940","아몬드워터","긴장이완_코미디","","1","linked","",""
"CAL_B_추격과코미디","15","B_RECOVER","2269.890","2275.940","자기격려하고회복","캐릭터회복","","1","linked","",""
"CAL_C_주제회수와아이러니","1","C_CURIOSITY","2673.540","2679.940","백룸내용이궁금했다","관심_질문","","1","linked","",""
"CAL_C_주제회수와아이러니","2","C_PLAY","2710.440","2720.723","궁금증이게임체험으로이어짐","관심_행동","","1","linked","",""
"CAL_C_주제회수와아이러니","3","C_V2_EMPTY","408.840","412.840","빈백룸_관심시각화","무음V2_주차장화면교체","0.000000","2","none","",""
"CAL_C_주제회수와아이러니","4","C_V2_REPEAT","900.801","904.801","반복공간_관심시각화","무음V2_주차장화면교체","4.000000","2","none","",""
"CAL_C_주제회수와아이러니","5","C_V2_SOUND","1042.724","1046.724","위치불명복도_관심시각화","무음V2_주차장화면교체","8.000000","2","none","",""
"CAL_C_주제회수와아이러니","6","C_V2_SPACE","1329.369","1334.052","반복복도_공간감시각화","무음V2_주차장화면교체","12.000000","2","none","",""
"CAL_C_주제회수와아이러니","7","C_DARK","3422.890","3425.940","어두운공간이무섭다","빛_문제","","1","linked","",""
"CAL_C_주제회수와아이러니","8","C_DARK_REACT","3427.540","3428.940","어둠리액션","인물_공포","","1","linked","",""
"CAL_C_주제회수와아이러니","9","C_POWER","3502.090","3505.990","전원발견","빛_해결행동","","1","linked","",""
"CAL_C_주제회수와아이러니","10","C_SWITCH","3506.540","3507.940","전원작동","빛_전환","","1","linked","",""
"CAL_C_주제회수와아이러니","11","C_SHOW","3510.340","3513.940","불켜지고혼자생쇼","공포직후코미디","","1","linked","",""
"CAL_C_주제회수와아이러니","12","C_RELIEF","3520.540","3522.940","긴장이완","인물_회복","","1","linked","",""
"CAL_C_주제회수와아이러니","13","C_EVAL_LIGHT","4581.940","4583.940","광원을잘활용","평가_강점","","1","linked","",""
"CAL_C_주제회수와아이러니","14","C_EVAL_GAME","4584.790","4585.940","게임요소로작동","평가_근거","","1","linked","",""
"CAL_C_주제회수와아이러니","15","C_EVAL_MOVIE","4591.090","4599.940","영화의공간기대","평가_비교","","1","linked","",""
"CAL_C_주제회수와아이러니","16","C_EVAL_WEIRD","4599.990","4601.940","기괴한공간감","평가_기대","","1","linked","",""
"CAL_C_주제회수와아이러니","17","C_EVAL_MISS","4601.941","4603.940","그느낌은약했다","평가_한계","","1","linked","",""
"CAL_C_주제회수와아이러니","18","C_ORDINARY","4604.740","4607.940","평범한방","평가_반례","","1","linked","",""
"CAL_C_주제회수와아이러니","19","C_ORDINARY_FEEL","4608.690","4609.940","평범하게느껴짐","평가_반례","","1","linked","",""
"CAL_C_주제회수와아이러니","20","C_LIGHT_PLEASE","4610.640","4611.940","그래도불켜줘","평가직후캐릭터아이러니","","1","linked","",""
"CAL_C_주제회수와아이러니","21","C_NOT_SCARED","4790.340","4793.940","무서워서끝내는건아님","엔딩_허세","","1","linked","",""
"CAL_C_주제회수와아이러니","22","C_WAIT","4920.340","4921.940","잠깐만","엔딩_균열","","1","linked","",""
"CAL_C_주제회수와아이러니","23","C_TENSE","4922.490","4923.940","너무긴장했다","엔딩_자백","","1","linked","",""
