번호,구간명,원본파일,시작,끝,길이,역할
1,3인 플레이 훅,2026-06-26 19-42-34.mkv,02:15:30,02:17:30,02:00,초반 흥미 유도
2,크아를 켠 이유,2026-06-26 19-42-34.mkv,00:02:45,00:04:15,01:30,영상의 기본 맥락
3,첫 사람전 충격,2026-06-26 19-42-34.mkv,00:15:10,00:16:30,01:20,초반 문제 상황
4,한 판만 이기자,2026-06-26 19-42-34.mkv,00:17:35,00:19:35,02:00,목표 형성
5,비슷한 상대 발견,2026-06-26 19-42-34.mkv,00:20:00,00:22:50,02:50,재미가 살아나는 지점
6,한칸 물풍선 심리전,2026-06-26 19-42-34.mkv,00:25:45,00:28:50,03:05,게임 플레이 재미
7,여자친구 1대1 시작,2026-06-26 19-42-34.mkv,01:12:45,01:15:20,02:35,비슷한 실력 구도 시작
8,여자친구 진심 대결,2026-06-26 19-42-34.mkv,01:15:25,01:19:05,03:40,가장 자연스러운 경쟁
9,도망과 약올림,2026-06-26 19-42-34.mkv,01:20:25,01:22:00,01:35,가벼운 웃음 포인트
10,몬스터 모드 3명,2026-06-26 19-42-34.mkv,01:43:00,01:48:50,05:50,분위기 전환
11,실력 비슷해야 재밌다,2026-06-26 19-42-34.mkv,01:56:20,01:59:25,03:05,영상의 핵심 메시지
12,3명이 하니 게임 맛,2026-06-26 19-42-34.mkv,02:20:20,02:23:20,03:00,후반 재미 회수
13,서비스 종료 소감,2026-06-26 19-42-34.mkv,02:24:00,02:24:41,00:41,마무리
